RESDATE,QBFDEP,BIDCITY,BIDSTATE,CLOSCD,PSTALP,BSTATUS,COMMENTS,CITYST,RESTYPE,COSTMOSTRECENTASOF,URL,PTRDATE,COST,QBFASSET,UNINSDEP,TERMI,FAILYR,CHCLASS,FUND,BANKNO,BIDNAME,FIN,FAILDATE,SAVR,RESTYPE1,NAME,CHCLASS1,FSL_PROG,CITY,CERT,BRDATE,ID
4/26/2024,4373927.0,LANCASTER,PA,TASNN,PA,A,,"PHILADELPHIA, PA",FAILURE,30JUN2024,,,667138.0,5866190.0,,,2024,NM,1,,"FULTON BANK, NATIONAL ASSOCIATION",10546,4/26/2024,BIF,PA,REPUBLIC BANK,NM,,PHILADELPHIA,27332.0,,4110
11/3/2023,52311.0,EMMETSBURG,IA,PASAN,IA,A,,"SAC CITY, IA",FAILURE,30JUN2024,,,14517.0,60448.0,,,2023,NM,5,,IOWA TRUST & SAVINGS BANK,10545,11/3/2023,DIF,PA,CITIZENS BANK,NM,,SAC CITY,8758.0,,4109
7/28/2023,130110.0,SYRACUSE,KS,TABAN,KS,A,,"ELKHART, KS",FAILURE,30JUN2024,,,54136.0,139446.0,,,2023,SM,5,,"DREAM FIRST BANK,NATIONAL ASSOCIATION",10544,7/28/2023,DIF,PA,HEARTLAND TRI-STATE BANK,SM,,ELKHART,25851.0,,4108
5/1/2023,176436706.0,COLUMBUS,OH,TASNN,CA,A,,"SAN FRANCISCO, CA",FAILURE,30JUN2024,,,16339120.0,212638872.0,,,2023,NM,5,,"JPMORGAN CHASE BANK, N.A.",10543,5/1/2023,DIF,PA,FIRST REPUBLIC BANK,NM,,SAN FRANCISCO,59017.0,,4107
3/20/2023,88612911.0,HICKSVILLE,NY,PASNN,NY,A,"LCT not performed.  DRR will provide data when available. Signature Bridge Bank, N.A. (59332)  created with FIN 10541.","NEW YORK, NY",FAILURE,30JUN2024,,,2815579.0,110363650.0,,,2023,NM,5,,"FLAGSTAR BANK, N.A.",10540,3/12/2023,DIF,PA,SIGNATURE BANK,NM,,NEW YORK,57053.0,,4106
3/26/2023,175378000.0,RALEIGH,NC,DTBNA,CA,A,LCT not performed.  DRR will provide data when available.  Silicon Valley Bank to Silicon Valley Bridge Bank (59334)created with FIN 10542.,"SANTA CLARA, CA",FAILURE,30JUN2024,,,19630266.0,209026000.0,,,2023,SM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10539,3/7/2023,DIF,PA,SILICON VALLEY BANK,SM,,SANTA CLARA,24735.0,,4105
10/23/2020,64941.0,ANDOVER,KS,TASAN,KS,I,,"ALMENA, KS",FAILURE,30JUN2024,https://www.fdic.gov/news/press-releases/2020/pr20119.html,,15861.0,65733.0,,T,2020,NM,5,,EQUITY BANK,10538,10/23/2020,DIF,PA,ALMENA STATE BANK,NM,,ALMENA,15426.0,,4104
10/16/2020,133936.0,EVANSVILLE,IN,TASNN,FL,I,,"FORT WALTON BEACH, FL",FAILURE,30JUN2024,https://www.fdic.gov/news/press-releases/2020/pr20112.html,,7247.0,136566.0,,T,2020,NM,5,,"UNITED FIDELITY BANK, FSB",10537,10/16/2020,DIF,PA,FIRST CITY BANK OF FLORIDA,NM,,FORT WALTON BEACH,16748.0,,4103
4/3/2020,143102.0,FAIRMONT,WV,TASNN,WV,A,,"BARBOURSVILLE, WV",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2020/pr20046.html,,43793.0,151808.0,,,2020,NM,5,,"MVB BANK, INC",10536,4/3/2020,DIF,PA,THE FIRST STATE BANK,NM,,BARBOURSVILLE,14361.0,,4102
2/14/2020,95159.0,MILFORD,NE,PASAN,NE,I,,"ERICSON, NE",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2020/pr20011.html,,23279.0,100879.0,,T,2020,NM,5,,FARMERS AND MERCHANTS BANK,10535,2/14/2020,DIF,PA,ERICSON STATE BANK,NM,,ERICSON,18265.0,,4101
11/1/2019,111234.0,WASHINGTON,DC,TANNN,NJ,A,,"NEWARK, NJ",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2019/pr19101.html,,992.0,120574.0,,,2019,N,5,,INDUSTRIAL BANK,10534,11/1/2019,DIF,PA,CITY NATIONAL BANK OF NEW JERSEY,N,,NEWARK,21111.0,,4100
10/25/2019,25174.0,CATLETTSBURG,KY,TASNN,KY,I,,"LOUISA, KY",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2019/pr19096.html,,4264.0,28163.0,,T,2019,NM,5,,KENTUCKY FARMERS BANK CORPORATION,10532,10/25/2019,DIF,PA,LOUISA COMMUNITY BANK,NM,,LOUISA,58112.0,,4098
10/25/2019,22885.0,POWELL,OH,TATNN,OH,I,,"MAUMEE, OH",FAILURE,30JUN2024,https://www.fdic.gov/news/news/press/2019/pr19097.html,,1571.0,23292.0,,T,2019,SB,5,,BUCKEYE STATE BANK,10533,10/25/2019,DIF,PA,RESOLUTE BANK,SB,,MAUMEE,58317.0,,4099
5/31/2019,31254.0,BOWIE,TX,DPSNN,TX,I,,"COOPER, TX",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/enloe.html,,18263.0,36738.0,500,T,2019,NM,5,,"LEGEND BANK, NA",10531,5/31/2019,DIF,PI,ENLOE STATE BANK,NM,,COOPER,10716.0,,4097
12/15/2017,143964.0,CHICAGO,IL,DPTNN,IL,A,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/wafedbank.html,,75653.0,166345.0,,,2017,SB,5,,ROYAL SAVINGS BANK,10530,12/15/2017,DIF,PI,WASHINGTON FEDERAL BANK FOR SAVINGS,SB,,CHICAGO,30570.0,,4096
10/13/2017,27466.0,CONWAY SPRINGS,KS,TASNN,KS,I,,"ARGONIA, KS",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/fmstatebank.html,,280.0,33012.0,,T,2017,NM,5,,CONWAY BANK,10529,10/13/2017,DIF,PA,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,NM,,ARGONIA,17719.0,,4095
5/26/2017,33972.0,EVANSVILLE,IN,PABNN,IL,I,,"SAINT ELMO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/fayettecounty.html,,8088.0,34370.0,,T,2017,SM,5,,"UNITED FIDELITY BANK, FSB",10528,5/26/2017,DIF,PA,FAYETTE COUNTY BANK,SM,,SAINT ELMO,1802.0,,4094
5/5/2017,1002026.0,RALEIGH,NC,TAFNN,WI,I,,"MILWAUKEE, WI",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/guaranty.html,,131962.0,1031900.0,,T,2017,SB,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10527,5/5/2017,DIF,PA,GUARANTY BANK,SB,,MILWAUKEE,30003.0,,4093
4/28/2017,3032208.0,GULFPORT,MS,PASNN,LA,A,,"NEW ORLEANS, LA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/firstnbc.html,,760439.0,3325870.0,,,2017,NM,5,,WHITNEY BANK,10526,4/28/2017,DIF,PA,FIRST NBC BANK,NM,,NEW ORLEANS,58302.0,,4092
3/3/2017,65042.0,LOGAN,UT,TASNN,UT,A,,"COTTONWOOD HEIGHTS, UT",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/proficio.html,,9846.0,68208.0,,,2017,NM,5,,CACHE VALLEY BANK,10525,3/3/2017,DIF,PA,PROFICIO BANK,NM,,COTTONWOOD HEIGHTS,35495.0,,4091
1/27/2017,256505.0,DALLAS,TX,TASNN,IL,A,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/seaway.html,,43746.0,297809.0,,T,2017,NM,5,,STATE BANK OF TEXAS,10524,1/27/2017,DIF,PA,SEAWAY BANK AND TRUST COMPANY,NM,,CHICAGO,19328.0,,4090
1/13/2017,122177.0,RALEIGH,NC,TASNN,NJ,I,,"PENNSVILLE, NJ",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/harvestcomm.html,,22158.0,124223.0,,T,2017,NM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10523,1/13/2017,DIF,PA,HARVEST COMMUNITY BANK,NM,,PENNSVILLE,34951.0,,4089
9/23/2016,64713.0,HUNTSVILLE,AR,TABNN,AR,I,,"MULBERRY, AR",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/alliedbank.html,,6213.0,66336.0,,T,2016,SM,5,,TODAY'S BANK,10522,9/23/2016,DIF,PA,ALLIED BANK,SM,,MULBERRY,91.0,,4088
8/19/2016,21122.0,ZEBULON,GA,TASNN,GA,I,,"WOODBURY, GA",FAILURE,30JUN2024,https://fdic.gov/bank/individual/failed/woodburybank.html,,3290.0,21426.0,,T,2016,NM,5,,UNITED BANK,10521,8/19/2016,DIF,PA,THE WOODBURY BANKING COMPANY,NM,,WOODBURY,11297.0,,4087
5/6/2016,101040.0,RALEIGH,NC,TASNN,PA,I,,"KING OF PRUSSIA, PA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/firstcornerstone.html,,10825.0,103307.0,,T,2016,NM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10520,5/6/2016,DIF,PA,FIRST CORNERSTONE BANK,NM,,KING OF PRUSSIA,35312.0,,4086
4/29/2016,20148.0,PIPERTON,TN,PASNN,TN,I,Updated 8/30 with QBFfail assets/dep/eq,"MEMPHIS, TN",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/trustco.html,,10372.0,18998.0,,T,2016,NM,5,,THE  BANK OF FAYETTE COUNTY,10519,4/29/2016,DIF,PA,TRUST COMPANY BANK,NM,,MEMPHIS,9956.0,,4085
3/11/2016,61493.0,RALEIGH,NC,TASNN,WI,I,,"MILWAUKEE, WI",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/nmsbank.html,,11773.0,67115.0,,T,2016,NM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10518,3/11/2016,DIF,PA,NORTH MILWAUKEE STATE BANK,NM,,MILWAUKEE,20364.0,,4084
10/2/2015,3705.0,LONGVIEW,WA,PANNN,WA,I,,"LONGVIEW, WA",FAILURE,30JUN2024,https://fdic.gov/bank/individual/failed/hometownnatl.html,,995.0,3785.0,,T,2015,N,5,,TWIN CITY BANK,10517,10/2/2015,DIF,PA,HOMETOWN NATIONAL BANK,N,,LONGVIEW,35156.0,,4082
10/2/2015,264234.0,ATLANTA,GA,TASNN,GA,I,,"PEACHTREE CITY, GA",FAILURE,30JUN2024,https://fdic.gov/bank/individual/failed/bankofgeorgia.html,,27760.0,286102.0,,T,2015,NM,5,,FIDELITY BANK,10516,10/2/2015,DIF,PA,THE BANK OF GEORGIA,NM,,PEACHTREE CITY,35259.0,,4083
7/10/2015,25480.0,EVANSVILLE,IN,TABNN,CO,I,,"DENVER, CO",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/premier-co.html,,1210.0,26760.0,,T,2015,SM,5,,"UNITED FIDELITY BANK, FSB",10515,7/10/2015,DIF,PA,PREMIER BANK,SM,,DENVER,34112.0,,4081
5/8/2015,90007.0,OAK BROOK,IL,TASNN,IL,I,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/edgebrook.html,,20647.0,90034.0,,T,2015,NM,5,,REPUBLIC BANK OF CHICAGO,10514,5/8/2015,DIF,PA,EDGEBROOK BANK,NM,,CHICAGO,57772.0,,4080
2/27/2015,4097734.0,HATO REY,PR,PASNN,PR,A,,"SAN JUAN, PR",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/doral.html,,695128.0,5898515.0,,,2015,NM,5,,BANCO POPULAR DE PUERTO RICO,10513,2/27/2015,DIF,PA,DORAL BANK,NM,,SAN JUAN,32102.0,,4079
2/13/2015,262652.0,RALEIGH,NC,TASNN,GA,I,,"ATLANTA, GA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/capitolcity.html,,95942.0,272311.0,,T,2015,NM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10512,2/13/2015,DIF,PA,CAPITOL CITY BANK & TRUST COMPANY,NM,,ATLANTA,33938.0,,4078
1/23/2015,53453.0,EVANSVILLE,IN,PASNN,IL,I,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/highlandcomm.html,,4743.0,54727.0,,T,2015,NM,5,,"UNITED FIDELITY BANK, fsb",10511,1/23/2015,DIF,PA,HIGHLAND COMMUNITY BANK,NM,,CHICAGO,20290.0,,4077
1/16/2015,73199.0,NEW ORLEANS,LA,TANNN,FL,I,,"CRESTVIEW, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/fnbcrestview.html,,6329.0,73804.0,,T,2015,N,5,,FIRST NBC BANK,10510,1/16/2015,DIF,PA,FIRST NATIONAL BANK OF CRESTVIEW,N,,CRESTVIEW,17557.0,,4076
12/19/2014,18221.0,SARTELL,MN,TASNN,MN,I,,"MANKATO, MN",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/northernstar.html,,3946.0,18794.0,,T,2014,NM,5,,BANKVISTA,10509,12/19/2014,DIF,PA,NORTHERN STAR BANK,NM,,MANKATO,34983.0,,4075
11/7/2014,76344.0,SAN DIEGO,CA,TATNN,CA,I,,"PALM DESERT, CA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/elpaseo.html,,2905.0,80736.0,,T,2014,SB,5,,"BANK OF SOUTHERN CALIFORNIA,  N.A.",10508,11/7/2014,DIF,PA,"FRONTIER BANK, FSB",SB,,PALM DESERT,34738.0,,4074
10/24/2014,809638.0,DALLAS,TX,PANNN,IL,A,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/nrbc.html,,57659.0,843118.0,,,2014,N,5,,STATE BANK OF TEXAS,10507,10/24/2014,DIF,PA,THE NATIONAL REPUBLIC BANK OF CHICAGO,N,,CHICAGO,916.0,,4073
10/17/2014,151559.0,ELLICOTT,MD,PABNN,MD,I,,"RISING SUN, MD",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/nbrs.html,,19837.0,155353.0,,T,2014,SM,5,,HOWARD BANK,10506,10/17/2014,DIF,PA,NBRS FINANCIAL BANK,SM,,RISING SUN,4862.0,,4072
7/25/2014,68722.0,SOUTH HOLLAND,IL,TATNN,IL,I,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/greenchoice.html,,18412.0,70286.0,,T,2014,SB,5,,"PROVIDENCE BANK, LLC",10505,7/25/2014,DIF,PA,"GREENCHOICE BANK, FSB",SB,,CHICAGO,28462.0,,4071
7/18/2014,166875.0,ATLANTA,GA,TASNN,GA,I,,"CONYERS, GA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/eastside.html,,38334.0,173946.0,,T,2014,NM,5,,COMMUNITY & SOUTHERN BANK,10504,7/18/2014,DIF,PA,EASTSIDE COMMERCIAL BANK,NM,,CONYERS,58125.0,,4070
6/27/2014,20855.0,ALVA,OK,PASNN,OK,I,,"FREEDOM, OK",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/freedomstate.html,,3734.0,22816.0,,T,2014,NM,5,,ALVA STATE BANK & TRUST COMPANY,10503,6/27/2014,DIF,PA,THE FREEDOM STATE BANK,NM,,FREEDOM,12483.0,,4069
6/20/2014,359953.0,REEDS SPRING,MO,PASNN,IL,I,,"MOLINE, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/valleybankil.html,,47807.0,456442.0,,T,2014,NM,5,,GREAT SOUTHERN BANK,10502,6/20/2014,DIF,PA,VALLEY BANK,NM,,MOLINE,10450.0,,4067
6/20/2014,66541.0,FORT LAUDERDALE,FL,PASNN,FL,I,,"FORT LAUDERDALE, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/valleybankfl.html,,5439.0,81843.0,,T,2014,NM,5,,"LANDMARK BANK, NATIONAL ASSOCIATION",10501,6/20/2014,DIF,PA,VALLEY BANK,NM,,FORT LAUDERDALE,21793.0,,4068
5/30/2014,111142.0,LUTHERVILLE,MD,PATNN,MD,I,,"BEL AIR, MD",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/slaviefederal.html,,10954.0,140063.0,,T,2014,SB,5,,"BAY BANK, FSB",10500,5/30/2014,DIF,PA,SLAVIE FEDERAL SAVINGS BANK,SB,,BEL AIR,32368.0,,4066
5/23/2014,29538.0,EVANSVILLE,IN,TAMNN,OH,I,,"CINCINNATI, OH",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/columbiasavings.html,,7224.0,36484.0,,T,2014,SI,5,,"UNITED FIDELITY BANK, FSB",10499,5/23/2014,DIF,PA,COLUMBIA SAVINGS BANK,SI,,CINCINNATI,32284.0,,4065
5/16/2014,65031.0,OAK BROOK,IL,TASNN,IL,I,,"BERWYN, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/aztecamerica.html,,21715.0,66309.0,,T,2014,NM,5,,REPUBLIC BANK OF CHICAGO,10498,5/16/2014,DIF,PA,AZTECAMERICA BANK,NM,,BERWYN,57866.0,,4064
4/25/2014,49356.0,HAMPTON,SC,TASNN,SC,I,,"FAIRFAX, SC",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/allendale.html,,22149.0,49498.0,,T,2014,NM,5,,PALMETTO STATE BANK,10497,4/25/2014,DIF,PA,ALLENDALE COUNTY BANK,NM,,FAIRFAX,15062.0,,4063
2/28/2014,121704.0,RESTON,VA,TANNN,VA,I,,"STERLING, VA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/millenniumbank.html,,10940.0,130305.0,,T,2014,N,5,,WASHINGTONFIRST BANK,10495,2/28/2014,DIF,PA,"MILLENNIUM BANK, NATIONAL ASSOCIATION",N,,STERLING,35096.0,,4061
2/28/2014,62472.0,MERCERVILLE,NJ,TASNN,PA,I,,"HORSHAM, PA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/vantagebank.html,,8956.0,63453.0,,T,2014,NM,5,,FIRST CHOICE BANK,10496,2/28/2014,DIF,PA,VANTAGE POINT BANK,NM,,HORSHAM,58531.0,,4062
1/31/2014,145813.0,IRVINE,CA,TASNN,ID,I,,"BOISE, ID",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/syringabank.html,,3487.0,153361.0,,T,2014,NM,5,,SUNWEST BANK,10494,1/31/2014,DIF,PA,SYRINGA BANK,NM,,BOISE,34296.0,,4060
1/24/2014,315843.0,OKLAHOMA CITY,OK,PASNN,OK,I,,"EL RENO, OK",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/bankofunion.html,,93335.0,317172.0,,T,2014,NM,5,,BANCFIRST,10493,1/24/2014,DIF,PA,THE  BANK OF UNION,NM,,EL RENO,17967.0,,4059
1/17/2014,51878.0,OAK BROOK,IL,TANNN,IL,I,,"WEST CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/dupage.html,,1530.0,53524.0,,T,2014,N,5,,REPUBLIC BANK OF CHICAGO,10492,1/17/2014,DIF,PA,DUPAGE NATIONAL BANK,N,,WEST CHICAGO,5732.0,,4058
12/13/2013,142640.0,COLLEGE STATION,TX,TANNN,TX,I,RB20140513 - resdate = faildate,"THE WOODLANDS, TX",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/texascomm.html,,14203.0,159257.0,,T,2013,N,5,,"SPIRIT OF TEXAS BANK, SSB",10491,12/13/2013,DIF,PA,"TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",N,,THE WOODLANDS,57431.0,,4057
10/30/2013,24591.0,LAKE CITY,FL,TASNN,FL,I,,"GRACEVILLE, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/jacksoncty.html,,5849.0,24724.0,,T,2013,NM,5,,FIRST FEDERAL BANK OF FLORIDA,10490,10/30/2013,DIF,PA,BANK OF JACKSON COUNTY,NM,,GRACEVILLE,14794.0,,4056
9/13/2013,2338335.0,DALLAS,TX,TANNN,TX,I,,"EDINBURG, TX",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/firstnatl-tx.html,,616177.0,3085764.0,,T,2013,N,5,,PLAINSCAPITAL BANK,10488,9/13/2013,DIF,PA,FIRST NATIONAL BANK,N,,EDINBURG,14318.0,,4054
9/13/2013,25715.0,,,POSNN,CT,I,,"BRIDGEPORT, CT",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/commbank-ct.html,,9211.0,26368.0,,T,2013,NM,5,,,10489,9/13/2013,DIF,PO,THE COMMUNITY'S BANK,NM,,BRIDGEPORT,57041.0,,4055
8/23/2013,377672.0,RUSSELLVILLE,AL,PASNN,TN,A,,"PARSONS, TN",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/communitysouth.html,,129758.0,386908.0,,T,2013,NM,5,,"CB&S BANK, INC.",10486,8/23/2013,DIF,PA,COMMUNITY SOUTH BANK,NM,,PARSONS,19849.0,,4052
8/23/2013,196924.0,OKLAHOMA CITY,OK,TASNN,AZ,I,,"PHOENIX, AZ",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/sunrisebank-az.html,,15391.0,202179.0,,T,2013,NM,5,,"FIRST FIDELITY BANK, NATIONAL ASSOCIATION",10487,8/23/2013,DIF,PA,SUNRISE BANK OF ARIZONA,NM,,PHOENIX,34707.0,,4053
8/9/2013,40663.0,GREEN BAY,WI,TASNN,WI,I,,"WAUSAU, WI",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/bankofwausau.html,,13428.0,43564.0,,T,2013,NM,5,,NICOLET NATIONAL BANK,10485,8/9/2013,DIF,PA,BANK OF WAUSAU,NM,,WAUSAU,35016.0,,4051
8/2/2013,243618.0,SAINT PETERSBURG,FL,TASNN,FL,I,,"FORT MYERS, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/firstcommswb.html,,24921.0,247315.0,,T,2013,NM,5,,C1 BANK,10484,8/2/2013,DIF,PA,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,NM,,FORT MYERS,34943.0,,4050
6/7/2013,373366.0,MEMPHIS,TN,TANNN,TN,I,,"SEVIERVILLE, TN",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/mountain-tn.html,,33292.0,437282.0,,T,2013,N,5,,"FIRST TENNESSEE BANK, NATIONAL ASSOCIATION",10483,6/7/2013,DIF,PA,MOUNTAIN NATIONAL BANK,N,,SEVIERVILLE,34789.0,,4049
6/6/2013,19579.0,IRVINE,CA,TASNN,NV,I,,"NORTH LAS VEGAS, NV",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/1stcommerce.html,,5208.0,20152.0,,T,2013,NM,5,,PLAZA BANK,10482,6/6/2013,DIF,PA,1st COMMERCE BANK,NM,,NORTH LAS VEGAS,58358.0,,4048
5/31/2013,127590.0,BROOKFIELD,WI,TASNN,WI,I,,"KENOSHA, WI",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/kenosha.html,,22473.0,134024.0,,T,2013,NM,5,,"NORTH SHORE BANK, FSB",10478,5/31/2013,DIF,PA,BANKS OF WISCONSIN,NM,,KENOSHA,35386.0,,4047
5/14/2013,30822.0,DEVILS LAKE,N,TASNN,AZ,I,,"SCOTTSDALE, AZ",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/centralaz.html,,5425.0,31550.0,,T,2013,NM,5,,WESTERN STATE BANK,10479,5/14/2013,DIF,PA,CENTRAL ARIZONA BANK,NM,,SCOTTSDALE,34527.0,,4046
5/10/2013,57775.0,COLUMBUS,GA,PASNN,GA,I,,"VALDOSTA, GA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/sunrisebank.html,,16002.0,60793.0,,T,2013,NM,5,,SYNOVUS BANK,10481,5/10/2013,DIF,PA,SUNRISE BANK,NM,,VALDOSTA,58185.0,,4044
5/10/2013,21246.0,ROCKVILLE,MD,TASNN,NC,I,,"ASHEVILLE, NC",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/pisgahcommbk.html,,7943.0,21880.0,,T,2013,NM,5,,"CAPITAL BANK, NATIONAL ASSOCIATION",10480,5/10/2013,DIF,PA,PISGAH COMMUNITY BANK,NM,,ASHEVILLE,58701.0,,4045
4/26/2013,315326.0,HOSCHTON,GA,TASNN,GA,I,,"DOUGLASVILLE, GA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/douglascb.html,,89606.0,317288.0,,T,2013,NM,5,,HAMILTON STATE BANK,10476,4/26/2013,DIF,PA,DOUGLAS COUNTY BANK,NM,,DOUGLASVILLE,21649.0,,4042
4/26/2013,104709.0,EASLEY,SC,TASNN,NC,I,,"LENOIR, NC",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/parkway.html,,16490.0,109642.0,,T,2013,NM,5,,"CERTUSBANK, NATIONAL ASSOCIATION",10477,4/26/2013,DIF,PA,PARKWAY BANK,NM,,LENOIR,57158.0,,4043
4/19/2013,106348.0,JACKSONVILLE,FL,TASNN,FL,I,,"ORANGE PARK, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/heritagebank-fl.html,,25231.0,103960.0,,T,2013,NM,5,,FIRSTATLANTIC BANK,10475,4/19/2013,DIF,PA,HERITAGE BANK OF NORTH FLORIDA,NM,,ORANGE PARK,26680.0,,4039
4/19/2013,87196.0,NEW ALBANY,IN,TATNN,KY,I,,"LEXINGTON, KY",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/firstfederal-ky.html,,7767.0,92982.0,,T,2013,SB,5,,YOUR COMMUNITY BANK,10474,4/19/2013,DIF,PA,FIRST FEDERAL BANK,SB,,LEXINGTON,29594.0,,4040
4/19/2013,37067.0,LAKE CITY,FL,TASNN,FL,I,,"MARIANNA, FL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/chipola.html,,7920.0,37471.0,,T,2013,NM,5,,FIRST FEDERAL BANK OF FLORIDA,10473,4/19/2013,DIF,PA,CHIPOLA COMMUNITY BANK,NM,,MARIANNA,58034.0,,4041
4/5/2013,41728.0,SCOTTSDALE,AZ,TABNN,AZ,I,,"GOLD CANYON, AZ",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/goldcanyon.html,,8263.0,42125.0,,T,2013,SM,5,,"FIRST SCOTTSDALE, NATIONAL ASSOCIATION",10472,4/5/2013,DIF,PA,GOLD CANYON BANK,SM,,GOLD CANYON,58066.0,,4038
3/8/2013,224108.0,ALBANY,GA,TASNN,GA,I,,"LAGRANGE, GA",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/frontier-ga.html,,73446.0,258840.0,,T,2013,NM,5,,HERITAGE BANK OF THE SOUTH,10471,3/8/2013,DIF,PA,FRONTIER BANK,NM,,LAGRANGE,16431.0,,4037
2/15/2013,54202.0,NEW ORLEANS,LA,TASNN,IL,I,,"CHICAGO, IL",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/covenant-il.html,,19576.0,58422.0,,T,2013,NM,5,,LIBERTY BANK AND TRUST COMPANY,10470,2/15/2013,DIF,PA,COVENANT BANK,NM,,CHICAGO,22476.0,,4036
1/18/2013,49147.0,MINNETONKA,MN,TASNN,MN,I,,"ANDOVER, MN",FAILURE,30JUN2024,https://www.fdic.gov/bank/individual/failed/1stregents.html,,12229.0,49626.0,,T,2013,NM,5,,FIRST MINNESOTA BANK,10469,1/18/2013,DIF,PA,1ST REGENTS BANK,NM,,ANDOVER,57157.0,,4035
