STNAME,n_years,beta_neg_t,corr_neg_t,n_neg_t,beta_neg_l1,corr_neg_l1,n_neg_l1,beta_pos_t,corr_pos_t,n_pos_t,beta_pos_l1,corr_pos_l1,n_pos_l1,d_droa_if_neg_news_plus_10pp_l1,d_droa_if_pos_sent_plus_0p1_t,early_positive_response_score,bad_year_share,cumulative_negative_droa,avg_droa
Virginia,7,0.4693669958445092,0.7566736725968537,7,-0.4385568746916623,-0.5962407350961313,6,-0.017920478263744308,-0.04498029982932487,7,0.17752293008116926,0.3595950842281835,6,-0.04385568746916624,-0.0017920478263744309,-0.19544340834491358,0.7142857142857143,0.013661963597528482,-0.0007996527525558643
Tennessee,7,0.3469595335505639,0.8483579024537925,7,-0.37562042148589914,-0.8024079024904129,6,-0.04576154492222253,-0.17421182772727842,7,0.14569201259305123,0.4637087730251615,6,-0.037562042148589915,-0.004576154492222253,-0.19145355751527376,0.42857142857142855,0.006408035687807678,0.0004436934462392722
South Dakota,7,0.4474089463902309,0.7551866167791541,7,-0.3233486426504933,-0.45797658770395316,6,0.03328492865755349,0.08747298080382553,7,0.21700387512643984,0.45793442467207557,6,-0.03233486426504933,0.003328492865755349,-0.18371894646888637,0.42857142857142855,0.015254373426598574,-0.0012373343157497942
South Carolina,7,0.22742504291557644,0.5044668481900446,7,-0.3040393368887212,-0.5648851503904473,6,0.029883221930987074,0.10320445406766106,7,0.24590729663168306,0.680715069964431,6,-0.03040393368887212,0.0029883221930987075,-0.21602407470069598,0.2857142857142857,0.005613547513690223,0.0007236343830545075
Delaware,7,0.3927664117178937,0.6685637275397851,7,-0.27869538075970046,-0.41588931113665495,6,-0.024742795297342496,-0.0655743367256059,7,0.15784311287730896,0.3509434923436526,6,-0.02786953807597005,-0.0024742795297342498,-0.18258590817465145,0.42857142857142855,0.01753858217287132,-0.001716142727870362
Idaho,7,0.24137654414944637,0.6212196099396812,7,-0.24607071791157445,-0.5429673573098213,6,0.025731728702119667,0.10310879944957713,7,0.11458047260142608,0.3766933576414529,6,-0.024607071791157446,0.002573172870211967,-0.08884874389930641,0.42857142857142855,0.005288756681336789,0.0003922196748670013
California,7,0.2812123855983521,0.766846220954871,7,-0.2449452066889564,-0.5598827713978003,6,-0.01629487365664609,-0.06918333753436139,7,0.12650870161778202,0.4308361390498492,6,-0.02449452066889564,-0.001629487365664609,-0.1428035752744281,0.42857142857142855,0.010001412255387511,-0.0007746333708740751
Nebraska,7,0.17189152066909708,0.7519837326542343,7,-0.24436440656735156,-0.8954152121659463,6,-0.05511165016934382,-0.37538255152861966,7,0.11330638469563953,0.6185922449986736,6,-0.024436440656735156,-0.005511165016934383,-0.16841803486498336,0.14285714285714285,0.0033737996216228125,9.093690834633544e-05
North Carolina,7,0.297368701518562,0.6369174414823464,7,-0.23210565361105231,-0.41678333562009806,6,0.07236352672758217,0.24131498142568358,7,0.18657082865536845,0.4991509888077501,6,-0.02321056536110523,0.007236352672758218,-0.11420730192778628,0.2857142857142857,0.009584606191077922,-0.0006064448687977789
Alaska,7,0.1805009610660474,0.7383981388344342,7,-0.23026835772034807,-0.7891364475615684,6,-0.05864333602057718,-0.37351359821019514,7,0.08180088027385392,0.4176758685580916,6,-0.023026835772034807,-0.005864333602057719,-0.1404442162944311,0.0,0.0019714773246427095,0.0003931236843686589
