setup,train_years,test_year,n_train,n_test,AUC_bad_year,R2_severity
FDIC_only,2014-2019,2020,354,59,0.6299019607843137,-0.18398748252938968
FDIC_plus_sentiment,2014-2019,2020,354,59,0.625,-0.2385863458103925
